biasName, value_uA, transistorType, biasNo
SYN_D_DAC_BIAS_GABAb_N ,1,1,0
SYN_D_DAC_BIAS_NMDA_N  ,1,1,1
SYN_A_BIAS_N           ,1e-05,1,2
SYN_A_VW0_N            ,0.018,1,3
SYN_A_THETA1_N         ,0.001,1,4
SYN_A_THETA2_P         ,0.05,0,5
SYN_A_PWEXT_P0         ,0.012,0,6
SYN_A_PWEXT_P1         ,0.012,0,7
DE_NMDA_GAIN_E_P       ,2e-05,0,8
DE_NMDA_GAIN_I_P       ,4e-05,0,9
DE_NMDA_TAU_E_P        ,5e-06,0,16
DE_NMDA_TAU_I_P        ,1e-05,0,17
DE_NMDA_VTHRESH_N      ,0.0001,1,27
DE_AMPA_GAIN_E_P       ,3.2e-05,0,10
DE_AMPA_GAIN_I_P       ,4e-05,0,11
DE_AMPA_TAU_E_P        ,8e-06,0,18
DE_AMPA_TAU_I_P        ,1e-05,0,19
DE_AMPA_W_N            ,0.025,1,24
DE_GABAb_GAIN_E_P      ,2e-05,0,12
DE_GABAb_GAIN_I_P      ,4e-05,0,13
DE_GABAb_TAU_E_P       ,5e-06,0,20
DE_GABAb_TAU_I_P       ,1e-05,0,21
DE_GABAb_W_N           ,0.0001,1,26
DE_GABAa_GAIN_E_P      ,2e-05,0,14
DE_GABAa_GAIN_I_P      ,4e-05,0,15
DE_GABAa_TAU_E_P       ,5e-06,0,22
DE_GABAa_TAU_I_P       ,1e-05,0,23
DE_GABAa_W_N           ,0.008,1,25
NEUR_SOIF_SPIKE_THR_N  ,0.001,1,28
NEUR_SOIF_REFR_N       ,0.0001,1,29
NEUR_SOIF_LEAK_P       ,5e-06,0,30
NEUR_SOIF_GAIN_P       ,2e-05,0,31
NEUR_SOAD_W_N          ,0,1,32
NEUR_SOAD_GAIN_P       ,2e-05,0,33
NEUR_SOAD_TAU_P        ,5e-06,0,34
NEUR_SOAD_PW_TAU_P     ,0.5,0,35
NEUR_STARVE_P          ,0.001,0,36
ST_CA_THR_HIGH_P       ,0.0005,0,40
ST_CA_THR_LOW_P        ,7e-05,0,41
ST_DPI_CA_GAIN_P       ,2e-05,0,47
ST_DPI_CA_PW_TAU_P     ,0.25,0,42
ST_DPI_CA_TAU_P        ,5e-06,0,43
ST_DPI_CA_W_N          ,0.6,1,44
ST_WTA_TAIL_BIAS_HIGH_N,0.0005,1,45
ST_WTA_TAIL_BIAS_LOW_N ,2e-05,1,46
LB_WTA_TAIL_BIAS_VN    ,0.1,1,37
LB_ABS_STOP_WIDTH_VP   ,1e-05,0,38
LB_BUMP_TAIL_BIAS      ,0.1,0,39
C2F_REF_HIGH_P         ,1.262,0,48
C2F_REF_LOW_N          ,0.021,1,49
C2F_BIAS_N             ,0.021,1,50
C2F_HYS_P              ,0,0,51
C2F_PWLK_P             ,1.262,0,52
BUFFER_P               ,0,0,53
